"Angle","Value"
-88.2, 1.08234
-86.4, 1.08234
-84.6, 1.08234
-82.8, 1.08234
-81, 1.08231
-79.2, 1.08232
-77.4, 1.0824
-75.6, 1.08235
-73.8, 1.08234
-72, 1.08231
-70.2, 1.08233
-68.4, 1.08235
-66.6, 1.08233
-64.8, 1.08234
-63, 1.08235
-61.2, 1.08235
-59.4, 1.08236
-57.6, 1.08237
-55.8, 1.08234
-54, 1.08238
-52.2, 1.08234
-50.4, 1.08235
-48.6, 1.08234
-46.8, 1.08236
-45, 1.08233
-43.2, 1.08239
-41.4, 1.08235
-39.6, 1.0823
-37.8, 1.08233
-36, 1.08235
-34.2, 1.08235
-32.4, 1.08235
-30.6, 1.0824
-28.8, 1.08235
-27, 1.08236
-25.2, 1.08236
-23.4, 1.08237
-21.6, 1.08235
-19.8, 1.08231
-18, 1.08232
-16.2, 1.08234
-14.4, 1.08227
-12.6, 1.08233
-10.8, 1.08235
-9, 1.08238
-7.2, 1.08233
-5.4, 1.08234
-3.6, 1.08238
-1.8, 1.08233
-8.21565e-14, 1.08234
1.8, 1.08237
3.6, 1.08232
5.4, 1.08238
7.2, 1.08235
9, 1.08232
10.8, 1.08235
12.6, 1.08237
14.4, 1.08235
16.2, 1.08235
18, 1.08234
19.8, 1.08234
21.6, 1.08233
23.4, 1.08237
25.2, 1.08238
27, 1.08237
28.8, 1.08238
30.6, 1.08236
32.4, 1.08235
34.2, 1.08233
36, 1.08232
37.8, 1.08236
39.6, 1.08233
41.4, 1.08238
43.2, 1.08239
45, 1.08236
46.8, 1.08234
48.6, 1.08233
50.4, 1.08236
52.2, 1.0823
54, 1.08232
55.8, 1.08233
57.6, 1.08236
59.4, 1.08231
61.2, 1.08233
63, 1.08234
64.8, 1.08231
66.6, 1.08229
68.4, 1.08234
70.2, 1.08232
72, 1.08231
73.8, 1.08234
75.6, 1.0823
77.4, 1.08234
79.2, 1.08234
81, 1.08228
82.8, 1.08233
84.6, 1.08235
86.4, 1.08237
88.2, 1.08234
90, 1.08232
