"Angle","Value"
-88.2, 1.08229
-86.4, 1.08237
-84.6, 1.08239
-82.8, 1.08238
-81, 1.08242
-79.2, 1.0824
-77.4, 1.08249
-75.6, 1.08257
-73.8, 1.08283
-72, 1.08312
-70.2, 1.08338
-68.4, 1.08358
-66.6, 1.08381
-64.8, 1.08382
-63, 1.08396
-61.2, 1.08423
-59.4, 1.08468
-57.6, 1.08504
-55.8, 1.08555
-54, 1.08583
-52.2, 1.08578
-50.4, 1.08561
-48.6, 1.08552
-46.8, 1.08563
-45, 1.08592
-43.2, 1.08634
-41.4, 1.0873
-39.6, 1.08764
-37.8, 1.0889
-36, 1.08951
-34.2, 1.09629
-32.4, 1.11391
-30.6, 1.17166
-28.8, 1.21159
-27, 1.27127
-25.2, 1.28581
-23.4, 1.32245
-21.6, 1.35022
-19.8, 1.41149
-18, 1.44478
-16.2, 1.57204
-14.4, 1.72163
-12.6, 1.78988
-10.8, 1.80655
-9, 1.83055
-7.2, 1.8409
-5.4, 1.84637
-3.6, 1.8441
-1.8, 1.84431
-8.21565e-14, 1.84484
1.8, 1.83894
3.6, 1.83077
5.4, 1.80926
7.2, 1.78556
9, 1.68225
10.8, 1.54556
12.6, 1.44288
14.4, 1.39248
16.2, 1.3365
18, 1.31005
19.8, 1.27813
21.6, 1.25927
23.4, 1.20358
25.2, 1.16744
27, 1.11757
28.8, 1.09605
30.6, 1.09178
32.4, 1.09084
34.2, 1.09001
36, 1.0897
37.8, 1.08935
39.6, 1.08914
41.4, 1.08889
43.2, 1.08892
45, 1.08894
46.8, 1.08916
48.6, 1.08923
50.4, 1.08909
52.2, 1.08854
54, 1.08818
55.8, 1.0874
57.6, 1.08755
59.4, 1.08714
61.2, 1.08717
63, 1.08741
64.8, 1.08762
66.6, 1.08813
68.4, 1.08832
70.2, 1.08894
72, 1.08904
73.8, 1.08925
75.6, 1.08914
77.4, 1.08962
79.2, 1.08967
81, 1.08972
82.8, 1.08992
84.6, 1.08995
86.4, 1.09018
88.2, 1.0902
90, 1.0904
